instant,dteday,season,yr,mnth,holiday,weekday,workingday,is_weekend,weather_code,t1,t2,hum,wind_speed,cnt,n_hours,coverage
1,2015-01-04,3,0,1,0,0,0,1,3,2.4791666666666665,0.6458333333333334,94.27083333333333,7.5,9234,24,1.0
2,2015-01-05,3,0,1,0,1,1,0,3,8.041666666666666,6.708333333333333,80.3125,8.854166666666666,20372,24,1.0
3,2015-01-06,3,0,1,0,2,1,0,3,7.854166666666667,5.333333333333333,78.89583333333333,16.0,20613,24,1.0
4,2015-01-07,3,0,1,0,3,1,0,3,7.456521739130435,4.5,78.1086956521739,19.76086956521739,21064,23,0.9583333333333334
5,2015-01-08,3,0,1,0,4,1,0,4,9.75,7.791666666666667,79.3125,20.479166666666668,15601,24,1.0
6,2015-01-09,3,0,1,0,5,1,0,4,12.729166666666666,12.333333333333334,74.85416666666667,32.916666666666664,22104,24,1.0
7,2015-01-10,3,0,1,0,6,0,1,3,10.479166666666666,8.708333333333334,66.125,34.3125,14709,24,1.0
8,2015-01-11,3,0,1,0,0,0,1,3,6.645833333333333,2.4583333333333335,67.58333333333333,26.5625,14575,24,1.0
9,2015-01-12,3,0,1,0,1,1,0,5,11.125,9.75,76.58333333333333,28.1875,17199,24,1.0
10,2015-01-13,3,0,1,0,2,1,0,4,8.604166666666666,6.083333333333333,75.8125,21.208333333333332,24697,24,1.0
11,2015-01-14,3,0,1,0,3,1,0,3,6.5,2.4791666666666665,67.125,25.75,23565,24,1.0
12,2015-01-15,3,0,1,0,4,1,0,6,8.833333333333334,5.625,66.45833333333333,31.166666666666668,22968,24,1.0
13,2015-01-16,3,0,1,0,5,1,0,2,5.791666666666667,2.5416666666666665,66.22916666666667,17.458333333333332,22663,24,1.0
14,2015-01-17,3,0,1,0,6,0,1,2,3.7916666666666665,0.5625,75.10416666666667,13.583333333333334,15268,24,1.0
15,2015-01-18,3,0,1,0,0,0,1,4,3.3958333333333335,1.9166666666666667,84.33333333333333,6.979166666666667,13199,24,1.0
16,2015-01-19,3,0,1,0,1,1,0,3,2.4166666666666665,0.7916666666666666,80.0,6.1875,23034,24,1.0
17,2015-01-20,3,0,1,0,2,1,0,2,2.0625,-0.16666666666666666,81.95833333333333,9.166666666666666,23247,24,1.0
18,2015-01-21,3,0,1,0,3,1,0,4,3.0416666666666665,-0.375,84.27083333333333,14.729166666666666,22782,24,1.0
19,2015-01-22,3,0,1,0,4,1,0,2,2.5833333333333335,1.0416666666666667,74.47916666666667,6.729166666666667,23278,24,1.0
20,2015-01-23,3,0,1,0,5,1,0,2,2.7083333333333335,-0.020833333333333332,79.41666666666667,12.416666666666666,21892,24,1.0
21,2015-01-24,3,0,1,0,6,0,1,3,5.708333333333333,2.3333333333333335,72.72916666666667,18.0625,17539,24,1.0
22,2015-01-25,3,0,1,0,0,0,1,2,5.520833333333333,2.3125,77.375,16.166666666666668,15094,24,1.0
23,2015-01-26,3,0,1,0,1,1,0,3,8.5625,5.729166666666667,75.20833333333333,18.958333333333332,22710,24,1.0
24,2015-01-27,3,0,1,0,2,1,0,2,6.958333333333333,4.145833333333333,72.375,15.291666666666666,25000,24,1.0
25,2015-01-28,3,0,1,0,3,1,0,3,6.979166666666667,2.9166666666666665,71.02083333333333,29.145833333333332,21536,24,1.0
26,2015-01-29,3,0,1,0,4,1,0,3,3.7708333333333335,-1.25,73.52083333333333,26.5625,21275,24,1.0
27,2015-01-30,3,0,1,0,5,1,0,6,3.9791666666666665,0.1875,77.08333333333333,17.479166666666668,21171,24,1.0
28,2015-01-31,3,0,1,0,6,0,1,6,3.4166666666666665,-0.9166666666666666,77.91666666666667,20.125,10250,24,1.0
29,2015-02-01,3,0,2,0,0,0,1,5,3.7916666666666665,-0.8958333333333334,67.0,24.770833333333332,11305,24,1.0
30,2015-02-02,3,0,2,0,1,1,0,1,1.25,-2.3958333333333335,64.85416666666667,12.625,21640,24,1.0
31,2015-02-03,3,0,2,0,2,1,0,8,2.1666666666666665,-1.0416666666666667,85.5,11.833333333333334,19869,24,1.0
32,2015-02-04,3,0,2,0,3,1,0,3,2.875,-0.5208333333333334,80.6875,14.125,21850,24,1.0
33,2015-02-05,3,0,2,0,4,1,0,6,2.8958333333333335,-0.9166666666666666,78.10416666666667,16.020833333333332,21200,24,1.0
34,2015-02-06,3,0,2,0,5,1,0,2,2.6875,-1.6666666666666667,69.85416666666667,19.270833333333332,20955,24,1.0
35,2015-02-07,3,0,2,0,6,0,1,3,3.75,1.0208333333333333,83.02083333333333,11.3125,13149,24,1.0
36,2015-02-08,3,0,2,0,0,0,1,2,5.4375,3.1458333333333335,76.20833333333333,10.25,15778,24,1.0
37,2015-02-09,3,0,2,0,1,1,0,3,5.708333333333333,3.8541666666666665,81.4375,9.208333333333334,23858,24,1.0
38,2015-02-10,3,0,2,0,2,1,0,4,5.5,4.369565217391305,79.6086956521739,6.478260869565218,23559,23,0.9583333333333334
39,2015-02-11,3,0,2,0,3,1,0,4,5.041666666666667,3.1666666666666665,77.4375,7.645833333333333,23680,24,1.0
40,2015-02-12,3,0,2,0,4,1,0,4,3.9791666666666665,2.375,73.125,7.208333333333333,23227,24,1.0
41,2015-02-13,3,0,2,0,5,1,0,5,6.979166666666667,4.020833333333333,84.54166666666667,17.8125,17699,24,1.0
42,2015-02-14,3,0,2,0,6,0,1,4,7.3125,5.104166666666667,88.6875,12.375,14423,24,1.0
43,2015-02-15,3,0,2,0,0,0,1,4,6.6875,5.333333333333333,86.16666666666667,7.333333333333333,16952,24,1.0
44,2015-02-16,3,0,2,0,1,1,0,7,6.041666666666667,4.0625,89.70833333333333,9.75,16381,24,1.0
45,2015-02-17,3,0,2,0,2,1,0,2,5.854166666666667,3.4791666666666665,68.70833333333333,12.1875,25064,24,1.0
46,2015-02-18,3,0,2,0,3,1,0,1,6.395833333333333,3.7291666666666665,71.27083333333333,15.166666666666666,25132,24,1.0
47,2015-02-19,3,0,2,0,4,1,0,4,7.270833333333333,3.8958333333333335,81.5,21.125,16898,24,1.0
48,2015-02-20,3,0,2,0,5,1,0,3,6.645833333333333,4.8125,81.33333333333333,9.416666666666666,20715,24,1.0
49,2015-02-21,3,0,2,0,6,0,1,3,4.8125,1.625,76.33333333333333,16.208333333333332,16198,24,1.0
50,2015-02-22,3,0,2,0,0,0,1,3,5.125,1.4166666666666667,80.91666666666667,21.25,9086,24,1.0
51,2015-02-23,3,0,2,0,1,1,0,3,6.9375,2.9375,66.85416666666667,25.875,21764,24,1.0
52,2015-02-24,3,0,2,0,2,1,0,2,7.1875,3.1458333333333335,66.14583333333333,27.0,23688,24,1.0
53,2015-02-25,3,0,2,0,3,1,0,4,9.083333333333334,7.666666666666667,77.3125,11.104166666666666,21592,24,1.0
54,2015-02-26,3,0,2,0,4,1,0,4,9.25,7.4375,81.72916666666667,16.916666666666668,20036,24,1.0
55,2015-02-27,3,0,2,0,5,1,0,1,5.9375,3.1041666666666665,66.27083333333333,14.3125,24367,24,1.0
56,2015-02-28,3,0,2,0,6,0,1,6,8.6875,5.75,83.58333333333333,23.083333333333332,13529,24,1.0
57,2015-03-01,0,0,3,0,0,0,1,2,9.1875,6.416666666666667,66.6875,29.583333333333332,15641,24,1.0
58,2015-03-02,0,0,3,0,1,1,0,1,6.0625,1.7291666666666667,62.8125,28.3125,22258,24,1.0
59,2015-03-03,0,0,3,0,2,1,0,3,6.583333333333333,2.8541666666666665,64.1875,23.041666666666668,23845,24,1.0
60,2015-03-04,0,0,3,0,3,1,0,2,6.6875,3.2708333333333335,64.66666666666667,20.208333333333332,24485,24,1.0
61,2015-03-05,0,0,3,0,4,1,0,2,7.5,5.208333333333333,65.27083333333333,16.6875,24896,24,1.0
62,2015-03-06,0,0,3,0,5,1,0,2,9.104166666666666,7.1875,63.291666666666664,17.520833333333332,25337,24,1.0
63,2015-03-07,0,0,3,0,6,0,1,1,11.041666666666666,9.645833333333334,64.3125,18.395833333333332,27365,24,1.0
64,2015-03-08,0,0,3,0,0,0,1,2,10.041666666666666,9.041666666666666,78.85416666666667,14.229166666666666,20017,24,1.0
65,2015-03-09,0,0,3,0,1,1,0,3,8.354166666666666,6.416666666666667,82.83333333333333,14.3125,24037,24,1.0
66,2015-03-10,0,0,3,0,2,1,0,1,8.916666666666666,7.395833333333333,65.45833333333333,10.625,27674,24,1.0
67,2015-03-11,0,0,3,0,3,1,0,2,8.75,7.604166666666667,73.72916666666667,11.229166666666666,27419,24,1.0
68,2015-03-12,0,0,3,0,4,1,0,1,10.0,8.958333333333334,56.208333333333336,13.583333333333334,28131,24,1.0
69,2015-03-13,0,0,3,0,5,1,0,1,8.5,6.625,61.270833333333336,17.770833333333332,25700,24,1.0
70,2015-03-14,0,0,3,0,6,0,1,3,6.145833333333333,2.9583333333333335,66.97916666666667,17.958333333333332,18101,24,1.0
71,2015-03-15,0,0,3,0,0,0,1,5,6.3125,3.3125,82.20833333333333,16.3125,10662,24,1.0
72,2015-03-16,0,0,3,0,1,1,0,4,7.0,4.520833333333333,81.77083333333333,13.6875,19824,24,1.0
73,2015-03-17,0,0,3,0,2,1,0,4,8.479166666666666,7.166666666666667,85.875,10.208333333333334,25780,24,1.0
74,2015-03-18,0,0,3,0,3,1,0,3,6.895833333333333,4.583333333333333,80.0625,12.208333333333334,26439,24,1.0
75,2015-03-19,0,0,3,0,4,1,0,4,7.25,4.541666666666667,79.14583333333333,15.083333333333334,24077,24,1.0
76,2015-03-20,0,0,3,0,5,1,0,2,7.541666666666667,5.833333333333333,75.47916666666667,9.854166666666666,25226,24,1.0
77,2015-03-21,0,0,3,0,6,0,1,3,7.625,4.895833333333333,72.04166666666667,16.479166666666668,16116,24,1.0
78,2015-03-22,0,0,3,0,0,0,1,3,5.854166666666667,3.3333333333333335,67.72916666666667,12.395833333333334,18618,24,1.0
79,2015-03-23,0,0,3,0,1,1,0,3,8.0,6.479166666666667,66.16666666666667,11.916666666666666,25592,24,1.0
80,2015-03-24,0,0,3,0,2,1,0,5,7.541666666666667,5.916666666666667,69.8125,9.354166666666666,24083,24,1.0
81,2015-03-25,0,0,3,0,3,1,0,2,6.208333333333333,4.645833333333333,67.08333333333333,7.9375,25672,24,1.0
82,2015-03-26,0,0,3,0,4,1,0,3,8.416666666666666,6.1875,70.375,20.833333333333332,20305,24,1.0
83,2015-03-27,0,0,3,0,5,1,0,1,8.833333333333334,6.916666666666667,60.5,15.729166666666666,26348,24,1.0
84,2015-03-28,0,0,3,0,6,0,1,3,11.5625,11.145833333333334,80.125,22.895833333333332,18986,24,1.0
85,2015-03-29,0,0,3,0,0,0,1,5,11.304347826086957,10.08695652173913,77.44565217391305,30.77173913043478,8592,23,0.9583333333333334
86,2015-03-30,0,0,3,0,1,1,0,3,9.625,7.395833333333333,64.5625,26.333333333333332,22106,24,1.0
87,2015-03-31,0,0,3,0,2,1,0,3,10.85,9.7,55.15,41.9,22602,20,0.8333333333333334
88,2015-04-01,0,0,4,0,3,1,0,3,8.5,4.9375,59.854166666666664,31.708333333333332,23539,24,1.0
89,2015-04-02,0,0,4,0,4,1,0,3,9.0625,7.125,66.35416666666667,14.8125,22682,24,1.0
90,2015-04-03,0,0,4,1,5,0,0,6,9.395833333333334,8.583333333333334,88.08333333333333,7.916666666666667,11298,24,1.0
91,2015-04-04,0,0,4,0,6,0,1,4,8.869565217391305,7.021739130434782,77.69565217391305,12.26086956521739,12864,23,0.9583333333333334
92,2015-04-05,0,0,4,0,0,0,1,3,8.791666666666666,8.270833333333334,71.125,7.020833333333333,19369,24,1.0
93,2015-04-06,0,0,4,1,1,0,0,2,9.25,7.770833333333333,73.58333333333333,13.354166666666666,25439,24,1.0
94,2015-04-07,0,0,4,0,2,1,0,1,11.083333333333334,10.916666666666666,68.0625,6.604166666666667,29441,24,1.0
95,2015-04-08,0,0,4,0,3,1,0,2,11.75,11.375,73.95833333333333,11.020833333333334,30643,24,1.0
96,2015-04-09,0,0,4,0,4,1,0,2,10.5,9.5625,79.3125,10.5625,31520,24,1.0
97,2015-04-10,0,0,4,0,5,1,0,1,13.041666666666666,12.541666666666666,68.0,11.916666666666666,32052,24,1.0
98,2015-04-11,0,0,4,0,6,0,1,2,11.625,11.125,58.916666666666664,21.6875,25113,24,1.0
99,2015-04-12,0,0,4,0,0,0,1,1,11.791666666666666,10.916666666666666,58.645833333333336,20.208333333333332,29204,24,1.0
100,2015-04-13,0,0,4,0,1,1,0,3,11.604166666666666,11.166666666666666,68.77083333333333,9.729166666666666,28048,24,1.0
101,2015-04-14,0,0,4,0,2,1,0,1,15.645833333333334,14.895833333333334,60.770833333333336,17.166666666666668,34519,24,1.0
102,2015-04-15,0,0,4,0,3,1,0,1,17.541666666666668,17.208333333333332,51.895833333333336,14.0625,37470,24,1.0
103,2015-04-16,0,0,4,0,4,1,0,1,11.6875,10.895833333333334,66.95833333333333,19.625,30489,24,1.0
104,2015-04-17,0,0,4,0,5,1,0,2,10.583333333333334,8.916666666666666,63.625,23.645833333333332,29796,24,1.0
105,2015-04-18,0,0,4,0,6,0,1,2,9.645833333333334,8.145833333333334,63.875,22.583333333333332,29595,24,1.0
106,2015-04-19,0,0,4,0,0,0,1,3,8.416666666666666,6.666666666666667,67.8125,11.604166666666666,19736,24,1.0
107,2015-04-20,0,0,4,0,1,1,0,1,11.0625,10.4375,64.4375,13.854166666666666,32057,24,1.0
108,2015-04-21,0,0,4,0,2,1,0,1,11.375,10.854166666666666,61.604166666666664,12.75,34908,24,1.0
109,2015-04-22,0,0,4,0,3,1,0,2,10.395833333333334,9.479166666666666,72.47916666666667,16.854166666666668,32381,24,1.0
110,2015-04-23,0,0,4,0,4,1,0,2,10.395833333333334,9.020833333333334,71.66666666666667,13.208333333333334,32773,24,1.0
111,2015-04-24,0,0,4,0,5,1,0,1,13.020833333333334,12.6875,68.64583333333333,14.166666666666666,32102,24,1.0
112,2015-04-25,0,0,4,0,6,0,1,5,14.145833333333334,14.145833333333334,75.14583333333333,18.395833333333332,25194,24,1.0
113,2015-04-26,0,0,4,0,0,0,1,5,9.645833333333334,8.291666666666666,83.33333333333333,11.1875,19427,24,1.0
114,2015-04-27,0,0,4,0,1,1,0,1,9.270833333333334,8.375,55.583333333333336,10.479166666666666,30489,24,1.0
115,2015-04-28,0,0,4,0,2,1,0,1,9.708333333333334,7.875,53.479166666666664,23.041666666666668,31783,24,1.0
116,2015-04-29,0,0,4,0,3,1,0,3,9.854166666666666,8.0,71.3125,18.645833333333332,26030,24,1.0
117,2015-04-30,0,0,4,0,4,1,0,1,10.75,9.4375,57.75,18.291666666666668,31621,24,1.0
118,2015-05-01,0,0,5,0,5,1,0,2,9.083333333333334,7.229166666666667,64.25,18.875,29579,24,1.0
119,2015-05-02,0,0,5,0,6,0,1,3,9.75,8.4375,74.52083333333333,21.0625,22231,24,1.0
120,2015-05-03,0,0,5,0,0,0,1,5,14.5625,14.5,80.375,21.75,21165,24,1.0
121,2015-05-04,0,0,5,1,1,0,0,3,14.604166666666666,14.604166666666666,67.20833333333333,18.8125,26795,24,1.0
122,2015-05-05,0,0,5,0,2,1,0,3,14.645833333333334,14.645833333333334,69.35416666666667,31.041666666666668,26488,24,1.0
123,2015-05-06,0,0,5,0,3,1,0,5,12.5,12.25,70.54166666666667,32.166666666666664,24438,24,1.0
124,2015-05-07,0,0,5,0,4,1,0,2,13.166666666666666,13.104166666666666,62.3125,19.625,31144,24,1.0
125,2015-05-08,0,0,5,0,5,1,0,2,13.083333333333334,12.979166666666666,71.16666666666667,12.104166666666666,26878,24,1.0
126,2015-05-09,0,0,5,0,6,0,1,2,14.8125,14.8125,59.395833333333336,26.270833333333332,27810,24,1.0
127,2015-05-10,0,0,5,0,0,0,1,2,14.770833333333334,14.645833333333334,66.58333333333333,13.6875,32226,24,1.0
128,2015-05-11,0,0,5,0,1,1,0,1,17.333333333333332,17.333333333333332,64.52083333333333,17.25,33719,24,1.0
129,2015-05-12,0,0,5,0,2,1,0,1,14.5625,14.5625,53.416666666666664,23.229166666666668,33820,24,1.0
130,2015-05-13,0,0,5,0,3,1,0,1,13.75,13.354166666666666,56.479166666666664,11.666666666666666,36699,24,1.0
131,2015-05-14,0,0,5,0,4,1,0,5,9.895833333333334,7.895833333333333,84.95833333333333,21.375,15609,24,1.0
132,2015-05-15,0,0,5,0,5,1,0,4,11.791666666666666,11.020833333333334,69.54166666666667,14.0625,32343,24,1.0
133,2015-05-16,0,0,5,0,6,0,1,2,15.145833333333334,15.145833333333334,59.875,19.916666666666668,32526,24,1.0
134,2015-05-17,0,0,5,0,0,0,1,1,13.583333333333334,13.25,56.395833333333336,17.166666666666668,31323,24,1.0
135,2015-05-18,0,0,5,0,1,1,0,3,12.416666666666666,11.979166666666666,68.29166666666667,25.104166666666668,24288,24,1.0
136,2015-05-19,0,0,5,0,2,1,0,4,10.916666666666666,9.5,63.125,24.270833333333332,28331,24,1.0
137,2015-05-20,0,0,5,0,3,1,0,2,11.520833333333334,10.458333333333334,61.1875,18.6875,30534,24,1.0
138,2015-05-21,0,0,5,0,4,1,0,1,14.625,14.020833333333334,53.020833333333336,15.75,34833,24,1.0
139,2015-05-22,0,0,5,0,5,1,0,2,15.6875,15.395833333333334,65.70833333333333,13.666666666666666,33435,24,1.0
140,2015-05-23,0,0,5,0,6,0,1,3,14.666666666666666,14.666666666666666,68.9375,15.020833333333334,23849,24,1.0
141,2015-05-24,0,0,5,0,0,0,1,3,15.791666666666666,15.791666666666666,64.3125,11.479166666666666,30018,24,1.0
142,2015-05-25,0,0,5,1,1,0,0,3,13.75,13.75,60.875,13.604166666666666,29502,24,1.0
143,2015-05-26,0,0,5,0,2,1,0,2,14.916666666666666,14.916666666666666,60.0625,14.604166666666666,34809,24,1.0
144,2015-05-27,0,0,5,0,3,1,0,2,14.791666666666666,14.541666666666666,56.416666666666664,16.6875,36407,24,1.0
145,2015-05-28,0,0,5,0,4,1,0,2,15.041666666666666,15.041666666666666,49.9375,23.208333333333332,34387,24,1.0
146,2015-05-29,0,0,5,0,5,1,0,2,12.375,12.375,64.04166666666667,22.208333333333332,26023,24,1.0
147,2015-05-30,0,0,5,0,6,0,1,1,13.083333333333334,12.416666666666666,57.770833333333336,17.833333333333332,29206,24,1.0
148,2015-05-31,0,0,5,0,0,0,1,4,13.854166666666666,13.854166666666666,72.875,22.333333333333332,14998,24,1.0
149,2015-06-01,1,0,6,0,1,1,0,3,12.104166666666666,11.4375,62.833333333333336,23.645833333333332,27864,24,1.0
150,2015-06-02,1,0,6,0,2,1,0,4,15.666666666666666,15.666666666666666,75.02083333333333,33.520833333333336,27939,24,1.0
151,2015-06-03,1,0,6,0,3,1,0,2,16.125,16.125,53.0625,17.583333333333332,35377,24,1.0
152,2015-06-04,1,0,6,0,4,1,0,1,17.0,16.833333333333332,56.333333333333336,12.854166666666666,39451,24,1.0
153,2015-06-05,1,0,6,0,5,1,0,2,19.833333333333332,19.833333333333332,63.5,19.452380952380953,34563,21,0.875
154,2015-06-06,1,0,6,0,6,0,1,1,15.270833333333334,15.229166666666666,51.1875,23.791666666666668,32820,24,1.0
155,2015-06-07,1,0,6,0,0,0,1,1,15.0,14.916666666666666,55.979166666666664,12.520833333333334,35407,24,1.0
156,2015-06-08,1,0,6,0,1,1,0,2,13.604166666666666,13.541666666666666,63.854166666666664,13.541666666666666,32587,24,1.0
157,2015-06-09,1,0,6,0,2,1,0,2,12.041666666666666,11.3125,59.1875,21.020833333333332,33255,24,1.0
