instant,dteday,season,yr,mnth,holiday,weekday,workingday,is_weekend,weather_code,t1,t2,hum,wind_speed,cnt,n_hours,coverage
1,2015-01-04,3,0,1,0,0,0,1,3,2.4791666666666665,0.6458333333333334,94.27083333333331,7.5,9234,24,1.0
2,2015-01-05,3,0,1,0,1,1,0,3,8.041666666666666,6.708333333333333,80.3125,8.854166666666666,20372,24,1.0
3,2015-01-06,3,0,1,0,2,1,0,3,7.854166666666667,5.333333333333333,78.89583333333333,16.0,20613,24,1.0
4,2015-01-07,3,0,1,0,3,1,0,3,7.456521739130435,4.5,78.1086956521739,19.76086956521739,21064,23,0.9583333333333334
5,2015-01-08,3,0,1,0,4,1,0,4,9.75,7.791666666666667,79.3125,20.479166666666668,15601,24,1.0
6,2015-01-09,3,0,1,0,5,1,0,4,12.729166666666666,12.333333333333334,74.85416666666667,32.916666666666664,22104,24,1.0
7,2015-01-10,3,0,1,0,6,0,1,3,10.479166666666666,8.708333333333334,66.125,34.3125,14709,24,1.0
8,2015-01-11,3,0,1,0,0,0,1,3,6.645833333333333,2.4583333333333335,67.58333333333333,26.5625,14575,24,1.0
9,2015-01-12,3,0,1,0,1,1,0,5,11.125,9.75,76.58333333333333,28.1875,17199,24,1.0
10,2015-01-13,3,0,1,0,2,1,0,4,8.604166666666666,6.083333333333333,75.8125,21.208333333333332,24697,24,1.0
11,2015-01-14,3,0,1,0,3,1,0,3,6.5,2.4791666666666665,67.125,25.75,23565,24,1.0
12,2015-01-15,3,0,1,0,4,1,0,6,8.833333333333334,5.625,66.45833333333333,31.166666666666668,22968,24,1.0
13,2015-01-16,3,0,1,0,5,1,0,2,5.791666666666667,2.5416666666666665,66.22916666666667,17.458333333333332,22663,24,1.0
14,2015-01-17,3,0,1,0,6,0,1,2,3.7916666666666665,0.5625,75.10416666666667,13.583333333333334,15268,24,1.0
15,2015-01-18,3,0,1,0,0,0,1,4,3.3958333333333335,1.9166666666666667,84.33333333333333,6.979166666666667,13199,24,1.0
16,2015-01-19,3,0,1,0,1,1,0,3,2.4166666666666665,0.7916666666666666,80.0,6.1875,23034,24,1.0
17,2015-01-20,3,0,1,0,2,1,0,2,2.0625,-0.1666666666666666,81.95833333333333,9.166666666666666,23247,24,1.0
18,2015-01-21,3,0,1,0,3,1,0,4,3.0416666666666665,-0.375,84.27083333333333,14.729166666666666,22782,24,1.0
19,2015-01-22,3,0,1,0,4,1,0,2,2.5833333333333335,1.0416666666666667,74.47916666666667,6.729166666666667,23278,24,1.0
20,2015-01-23,3,0,1,0,5,1,0,2,2.7083333333333335,-0.0208333333333333,79.41666666666667,12.416666666666666,21892,24,1.0
21,2015-01-24,3,0,1,0,6,0,1,3,5.708333333333333,2.3333333333333335,72.72916666666667,18.0625,17539,24,1.0
22,2015-01-25,3,0,1,0,0,0,1,2,5.520833333333333,2.3125,77.375,16.166666666666668,15094,24,1.0
23,2015-01-26,3,0,1,0,1,1,0,3,8.5625,5.729166666666667,75.20833333333333,18.958333333333332,22710,24,1.0
24,2015-01-27,3,0,1,0,2,1,0,2,6.958333333333333,4.145833333333333,72.375,15.291666666666666,25000,24,1.0
25,2015-01-28,3,0,1,0,3,1,0,3,6.979166666666667,2.9166666666666665,71.02083333333333,29.145833333333332,21536,24,1.0
26,2015-01-29,3,0,1,0,4,1,0,3,3.7708333333333335,-1.25,73.52083333333333,26.5625,21275,24,1.0
27,2015-01-30,3,0,1,0,5,1,0,6,3.9791666666666665,0.1875,77.08333333333333,17.479166666666668,21171,24,1.0
28,2015-01-31,3,0,1,0,6,0,1,6,3.4166666666666665,-0.9166666666666666,77.91666666666667,20.125,10250,24,1.0
29,2015-02-01,3,0,2,0,0,0,1,5,3.7916666666666665,-0.8958333333333334,67.0,24.770833333333332,11305,24,1.0
30,2015-02-02,3,0,2,0,1,1,0,1,1.25,-2.3958333333333335,64.85416666666667,12.625,21640,24,1.0
31,2015-02-03,3,0,2,0,2,1,0,8,2.1666666666666665,-1.0416666666666667,85.5,11.833333333333334,19869,24,1.0
32,2015-02-04,3,0,2,0,3,1,0,3,2.875,-0.5208333333333334,80.6875,14.125,21850,24,1.0
33,2015-02-05,3,0,2,0,4,1,0,6,2.8958333333333335,-0.9166666666666666,78.10416666666667,16.020833333333332,21200,24,1.0
34,2015-02-06,3,0,2,0,5,1,0,2,2.6875,-1.6666666666666667,69.85416666666667,19.270833333333332,20955,24,1.0
35,2015-02-07,3,0,2,0,6,0,1,3,3.75,1.0208333333333333,83.02083333333333,11.3125,13149,24,1.0
36,2015-02-08,3,0,2,0,0,0,1,2,5.4375,3.1458333333333335,76.20833333333333,10.25,15778,24,1.0
37,2015-02-09,3,0,2,0,1,1,0,3,5.708333333333333,3.8541666666666665,81.4375,9.208333333333334,23858,24,1.0
38,2015-02-10,3,0,2,0,2,1,0,4,5.5,4.369565217391305,79.6086956521739,6.478260869565218,23559,23,0.9583333333333334
39,2015-02-11,3,0,2,0,3,1,0,4,5.041666666666667,3.1666666666666665,77.4375,7.645833333333333,23680,24,1.0
40,2015-02-12,3,0,2,0,4,1,0,4,3.9791666666666665,2.375,73.125,7.208333333333333,23227,24,1.0
41,2015-02-13,3,0,2,0,5,1,0,5,6.979166666666667,4.020833333333333,84.54166666666667,17.8125,17699,24,1.0
42,2015-02-14,3,0,2,0,6,0,1,4,7.3125,5.104166666666667,88.6875,12.375,14423,24,1.0
43,2015-02-15,3,0,2,0,0,0,1,4,6.6875,5.333333333333333,86.16666666666667,7.333333333333333,16952,24,1.0
